City,Latitude,Longitude,Population1,Population
Gondal,21.9349644,70.7849753,11.2197,112197
Bagalkot,16.1853166,75.6967919,11.1933,111933
Osmanabad,18.2822454,76.0588166,11.1825,111825
Akbarpur,26.4243107,82.5679342,11.1447,111447
Champdani,22.79778,88.36583,11.1251,111251
Deesa,24.2594977,72.1803348,11.116,111160
Khurja,28.2059068,77.8757144,11.1062,111062
Nandurbar,21.5145015,74.5407011,11.1037,111037
Azamgarh,26.0226968,83.0288734,11.0983,110983
Ghazipur,25.6035084,83.507454,11.0587,110587
Delhi Cantonment,28.5888565,77.132399,11.0351,110351
Firozpur,30.8851004,74.6601408,11.0313,110313
Baripada,21.9306273,86.732309,10.9743,109743
Mughalsarai,25.3015095,83.172958,10.965,109650
Anantnag,33.7368773,75.1455138,10.9433,109433
Sehore,23.1156882,77.0662394,10.8909,108909
Bongaon,23.0568823,88.781851,10.8864,108864
Kanpur Cantonment,26.4487664,80.3650651,10.8534,108534
Khardaha,22.7156992,88.381582,10.8496,108496
Tadpatri,14.9382599,78.0278689,10.8171,108171
Sultanpur,26.2425109,82.2961693,10.764,107640
Bhadrak,21.0633288,86.5053731,10.7463,107463
Shikohabad,27.0366038,78.6514362,10.7404,107404
Jalpaiguri,26.4733048,88.6788669,10.7341,107341
Shamli,29.5008816,77.3483826,10.7266,107266
Karaikkudi,10.044512,78.7433633,10.6714,106714
Khargone,21.825599,75.614182,10.6454,106454
Wardha,20.8256231,78.6131455,10.6444,106444
Ranibennur,14.625888,75.6357245,10.6406,106406
Kishanganj,26.1304353,87.9401032,10.5782,105782
Neyveli,11.535987,79.4824392,10.5731,105731
Amreli,20.866667,70.75,10.5573,105573
Suryapet,17.0800139,79.792533,10.5531,105531
Gangawati,15.7212791,76.7392516,10.5529,105529
Hindaun,26.7325006,77.0363121,10.5452,105452
Jamalpur,25.3297912,86.4567766,10.5434,105434
Bhiwadi,28.2039413,76.837441,10.4921,104921
Ballia,25.8779325,84.1199593,10.4424,104424
Bansberia,22.9600234,88.4053516,10.392,103920
Tadepalligudem,16.8102437,81.526592,10.3906,103906
Miryalaguda,16.8710119,79.5617353,10.3817,103817
Baraut,29.1541477,77.3059535,10.3764,103764
Udgir,18.4374361,77.1105215,10.355,103550
Betul,21.8796162,77.8756812,10.333,103330
Bundi,25.5,75.833333,10.3286,103286
Jehanabad,25.1524713,85.0068785,10.3202,103202
Ambala Sadar,30.336571,76.8429343,10.3093,103093
Nagapattinam,10.8056276,79.8246598,10.2905,102905
Nagaur,27.0237969,74.2037201,10.2872,102872
Buxar,25.5620715,84.015672,10.2861,102861
Seoni,22.2758789,79.7210447,10.2343,102343
Aurangabad,24.786306,84.4144898,10.2244,102244
Greater Noida,28.4670734,77.5137649,10.2054,102054
Hinganghat,20.475195,78.7423965,10.1805,101805
Sujangarh,27.7011154,74.4649358,10.1523,101523
Bhadreswar,20.5268033,86.2360615,10.1477,101477
Chilakaluripet,16.0949502,80.1658779,10.1398,101398
Kasganj,27.8838461,78.63489,10.1277,101277
Kalyani,23.0056857,88.4690161,10.0575,100575
Gangtok,27.3257569,88.6982769,10.0286,100286
Datia,25.75,78.5,10.0284,100284
Nagda,23.5065453,75.5317151,10.0039,100039
Banswara,23.5,74.333333,9.9969,99969
Kapurthala,31.385241,75.3055227,9.8916,98916
,26.85,80.95,0,
,26.9,75.8,0,
,26.4499,80.3319,0,
,25.146,82.569,0,
,21.1497,79.0806,0,
,28.67,77.42,0,
,22.3,73.2,0,
,17.7042,83.2978,0,
,22.7167,75.8472,0,
,19.1972,72.9722,0,
,23.25,77.4167,0,
,18.6186,73.8037,0,
,25.6,85.1,0,
,22.09,82.15,0,
,30.91,75.85,0,
,27.18,78.02,0,
,27.18,78.02,0,
,9.9252,78.1198,0,
,22.7925,86.1842,0,
,20,73.78,0,
,28.4167,77.3,0,
,19.88,75.32,0,
,22.3,70.7833,0,
,28.98,77.71,0,
,23.1667,79.9333,0,
,19.2333,73.1333,0,
,19.47,72.8,0,
,28.6092,76.9798,0,
,25.3189,83.0128,0,
,34.09,74.79,0,
,23.7998,86.4305,0,
,31.64,74.86,0,
,27.88,78.08,0,
,26.1722,91.7458,0,
,22.58,88.3294,0,
,23.36,85.33,0,
,26.2215,78.178,0,
,16.5193,80.6305,0,
,30.75,76.78,0,
,26.28,73.02,0,
,21.25,81.63,0,
,25.18,75.83,0,
,28.6139,77.209,0,
,28.364,79.415,0,
,11.0168,76.9558,0,
,17.68,75.92,0,
,10.7903,78.7047,0,
,28.8389,78.7769,0,
,11.1085,77.3411,0,
,28.456,77.029,0,
,31.2569,75.4432,0,
,28.5485,77.2513,0,
,20.27,85.84,0,
,19.29,72.85,0,
,19.3,72.85,0,
,30.34,76.38,0,
,20.8997,74.7697,0,
,8.4875,76.9525,0,
,19.2967,73.0631,0,
,29.964,77.546,0,
,17.9689,79.5941,0,
,26.71,88.43,0,
,11.65,78.15,0,
,12.9165,79.1325,0,
,9.97,76.28,0,
,26.7637,83.4039,0,
,28.8527,77.0929,0,
,16.3008,80.4428,0,
,28.57,77.32,0,
,21.76,72.15,0,
,19.315,84.7941,0,
,28.57,77.32,0,
,22.58,88.42,0,
,21.3667,81.7167,0,
,12.902,74.8253,0,
,21.21,81.38,0,
,8.1833,77.4119,0,
,22.2492,84.8828,0,
,20.5236,85.7881,0,
,13.34,77.1,0,
,23.55,87.32,0,
,30.345,78.029,0,
,25.7848,84.7274,0,
,23.68,86.99,0,
,16.6917,74.2333,0,
,14.45,79.99,0,
,19.15,77.3,0,
,26.4499,74.6399,0,
,20.9258,77.7647,0,
,17.329,76.825,0,
,28.0167,73.3119,0,
,23.8333,91.2833,0,
,28.75,77.28,0,
,23.17,75.79,0,
,19.22,73.15,0,
,25.35,74.63,0,
,25.4486,78.5696,0,
,32.73,74.87,0,
,25.778,87.476,0,
,8.7136,77.7567,0,
,15.85,74.5,0,
,22.47,70.07,0,
,24.75,85.01,0,
,13.1143,80.1548,0,
,22.61,88.4,0,
,21.004,75.568,0,
,15.83,78.05,0,
,24.58,73.68,0,
,27.4925,77.6736,0,
,16.8667,74.5667,0,
,14.4666,75.9242,0,
,11.25,75.77,0,
,20.7,77,0,
,26.8014,84.5028,0,
,28.6,77.1333,0,
,16.52,76.76,0,
,25.25,87,0,
,15.1,76.9167,0,
,30.5667,76.6333,0,
,8.88,76.6,0,
,17.4849,78.4138,0,
,22.87,88.41,0,
,23.98,85.35,0,
,16.9661,82.255,0,
,26.17,85.9,0,
,18.83,74.38,0,
,28.4401,74.4908,0,
,22.69,88.37,0,
,28.8909,76.5796,0,
,30.5167,75.8833,0,
,22.35,82.68,0,
,13.0465,77.513,0,
,27.62,75.15,0,
,24.95,84.03,0,
,10.9601,78.0766,0,
,29.686,76.989,0,
